[METADATA]
Parameter,Value
Total Population,30917
Total Simulation Days,7

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,2489600.00,1244800
shower,8156609.83,233951
wash_bassin,2590186.01,1281945
wash_machine,3874608.00,26907
dish_washer,4171502.96,5381635
tanque,988615.49,248643

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
88,21.60,33.53,24.32,17.30,21.66,0.00,118.40
89,24.80,33.35,24.13,17.30,21.61,0.00,121.19
90,22.80,33.38,23.70,17.40,22.20,0.00,119.48
91,22.00,33.68,24.14,17.40,22.49,0.00,119.71
92,19.20,33.77,24.27,17.40,22.36,0.00,117.00
93,16.80,33.71,24.35,17.50,22.44,0.00,114.80
94,14.00,33.69,24.16,17.50,21.99,0.00,111.35
95,16.00,33.72,24.21,17.50,21.89,0.00,113.31
96,16.80,33.82,24.45,17.50,21.90,0.00,114.47
97,19.20,34.03,23.95,17.50,22.04,0.00,116.72
98,20.00,33.91,23.58,17.50,21.83,0.00,116.82
99,20.40,33.91,23.81,17.50,22.08,0.00,117.70
100,16.40,33.88,23.57,17.50,22.36,0.00,113.72
101,15.60,33.80,23.78,17.50,22.35,0.00,113.02
102,14.80,33.68,23.88,17.60,22.07,0.00,112.02
103,16.80,33.70,23.68,17.60,22.39,0.00,114.17
104,19.60,33.61,23.53,17.60,22.34,0.00,116.68
105,22.40,33.39,23.90,17.60,22.23,0.00,119.52
106,22.00,33.39,24.10,17.60,22.12,0.00,119.21
107,20.00,33.29,24.27,17.50,22.14,0.00,117.20
108,18.80,33.29,24.06,17.50,22.11,0.00,115.76
109,16.00,33.38,23.98,17.50,21.87,0.00,112.72
110,17.20,33.26,23.96,17.50,22.01,0.00,113.94
111,18.80,33.20,24.62,17.50,22.53,0.00,116.66
112,19.60,33.20,24.84,17.50,23.00,0.00,118.14
113,18.40,33.20,25.06,17.50,23.48,0.00,117.65
114,16.40,33.19,25.27,17.50,23.07,0.00,115.43
115,13.20,33.19,24.94,17.50,23.12,0.00,111.95
116,12.00,33.07,24.72,17.50,23.10,0.00,110.39
117,12.80,32.96,24.62,17.50,23.21,0.00,111.08
118,12.80,32.96,24.31,17.50,22.90,0.00,110.47
119,15.20,32.87,24.04,17.60,22.59,0.00,112.30
120,18.80,32.79,24.36,17.60,22.45,0.00,116.00
121,19.60,32.85,24.53,17.50,22.43,0.00,116.92
122,22.00,32.96,24.71,17.50,22.52,0.00,119.69
123,21.60,32.96,24.81,17.40,22.57,0.00,119.34
124,20.00,33.06,25.36,17.50,22.43,0.00,118.35
125,18.80,33.04,25.47,17.50,22.44,0.00,117.26
126,17.20,33.04,25.25,17.50,22.67,0.00,115.66
127,13.60,33.23,25.19,17.40,22.73,0.00,112.16
128,15.60,33.25,24.99,17.30,22.54,0.00,113.68
129,15.20,33.16,24.91,17.30,22.18,0.00,112.75
130,13.20,33.38,24.91,17.30,21.99,0.00,110.78
131,12.80,33.38,24.62,17.30,21.96,0.00,110.06
132,14.80,33.25,24.63,17.30,22.18,0.00,112.16
133,14.00,33.30,25.00,17.30,22.25,0.00,111.85
134,15.60,33.22,25.25,17.30,21.83,0.00,113.20
135,16.40,33.31,25.37,17.30,21.84,0.00,114.23
136,16.80,33.49,25.00,17.30,22.07,0.00,114.66
137,15.60,33.58,24.79,17.30,22.13,0.00,113.39
138,15.60,33.64,24.71,17.30,22.08,0.00,113.34
139,16.00,33.64,24.63,17.30,22.07,0.00,113.65
140,16.40,33.71,24.54,17.30,21.91,0.00,113.85
141,18.00,33.82,24.64,17.30,22.09,0.00,115.85
142,19.20,34.01,24.66,17.20,21.85,0.00,116.92
143,18.80,34.12,24.84,17.20,21.55,0.00,116.51
144,17.60,34.34,24.67,17.20,21.35,0.00,115.16
145,21.60,34.29,24.31,17.20,21.21,0.00,118.62
146,20.40,34.18,24.34,17.30,21.32,0.00,117.54
147,18.80,34.11,24.05,17.30,21.43,0.00,115.69
148,19.60,33.97,24.08,17.30,21.27,0.00,116.21
149,20.40,34.01,23.95,17.30,21.33,0.00,117.00
150,16.40,33.94,24.30,17.30,21.36,0.00,113.30
151,16.00,34.09,24.33,17.30,21.01,0.00,112.74
152,15.60,34.45,24.45,17.40,21.11,0.00,113.00
153,15.60,34.09,24.29,17.40,21.21,0.00,112.60
154,18.80,34.17,24.88,17.40,21.44,0.00,116.69
