[METADATA]
Parameter,Value
Total Population,155367
Total Simulation Days,1

[DEVICE_SUMMARY]
Device,TotalLitersConsumed,TotalUses
toilet,4050448.42,892956
shower,5854537.88,167885
wash_bassin,1855011.21,919179
wash_machine,2773152.00,19258
dish_washer,2992687.47,3862989
tanque,708924.69,178650

[PULSE_DATA]
horario_segundos,toilet,shower,wash_bassin,wash_machine,dish_washer,tanque,total
539,27.13,22.91,15.61,12.90,16.58,0.00,95.13
540,27.01,22.91,15.86,12.90,16.50,0.00,95.18
541,26.96,22.91,15.75,12.80,16.51,0.00,94.94
542,26.71,22.98,15.83,12.80,16.30,0.00,94.62
543,26.59,22.87,15.91,12.80,16.24,0.00,94.41
544,26.42,22.75,16.20,12.80,16.24,0.00,94.40
545,26.59,22.83,16.15,12.80,16.30,0.00,94.66
546,26.96,22.75,16.50,12.80,16.40,0.00,95.41
547,26.96,22.91,16.19,12.80,16.44,0.00,95.30
548,27.13,23.00,16.22,12.90,16.93,0.00,96.19
549,27.30,23.09,16.46,12.80,16.58,0.00,96.23
550,27.51,23.15,16.17,12.80,16.58,0.00,96.22
551,27.51,23.15,16.08,12.80,16.44,0.00,95.98
552,27.34,23.07,16.49,12.80,16.52,0.00,96.22
553,27.30,23.12,16.65,12.70,16.71,0.00,96.48
554,27.34,23.04,16.54,12.70,16.98,0.00,96.61
555,27.26,23.04,16.21,12.70,16.86,0.00,96.07
556,27.43,22.94,15.76,12.70,16.72,0.00,95.55
557,27.72,22.67,15.47,12.70,16.58,0.00,95.13
558,27.68,22.47,15.37,12.70,16.60,0.00,94.81
559,27.64,22.45,15.30,12.70,16.28,0.00,94.37
560,27.43,22.66,15.28,12.70,15.65,0.00,93.72
561,27.47,22.53,15.19,12.70,15.75,0.00,93.64
562,27.64,22.47,15.05,12.70,15.91,0.00,93.76
563,27.76,22.47,15.48,12.70,16.02,0.00,94.43
564,28.06,22.68,15.76,12.70,15.99,0.00,95.18
565,27.89,22.69,15.88,12.70,15.98,0.00,95.15
566,27.80,22.69,16.03,12.80,15.83,0.00,95.17
567,27.64,22.78,16.14,12.80,16.11,0.00,95.46
568,27.72,22.59,15.80,12.80,16.12,0.00,95.04
569,27.55,22.53,15.80,12.80,16.05,0.00,94.73
570,27.89,22.53,15.87,12.80,16.00,0.00,95.09
571,27.64,22.73,15.69,12.80,16.21,0.00,95.07
572,27.80,22.35,15.52,12.80,16.62,0.00,95.09
573,27.93,22.35,15.32,12.70,16.97,0.00,95.26
574,27.89,22.38,15.11,12.70,16.84,0.00,94.92
575,27.89,22.25,15.06,12.70,16.78,0.00,94.69
576,27.85,22.16,15.02,12.70,16.48,0.00,94.21
577,27.97,22.16,15.04,12.70,16.48,0.00,94.35
578,27.89,21.97,15.46,12.60,16.46,0.00,94.38
579,28.10,21.90,15.18,12.60,16.72,0.00,94.50
580,28.22,22.02,15.46,12.60,16.75,0.00,95.06
581,28.35,22.13,15.19,12.40,16.71,0.00,94.78
582,28.27,22.23,15.05,12.40,17.00,0.00,94.95
583,28.27,22.30,15.16,12.40,16.92,0.00,95.05
584,28.52,22.26,15.38,12.30,16.76,0.00,95.22
585,28.69,22.44,15.55,12.30,16.80,0.00,95.77
586,28.60,22.44,15.62,12.30,16.55,0.00,95.51
587,28.64,22.26,15.79,12.20,16.63,0.00,95.52
588,28.48,22.26,15.98,12.20,16.29,0.00,95.22
589,28.39,22.26,15.47,12.20,15.98,0.00,94.30
590,28.43,22.35,15.61,12.20,16.11,0.00,94.71
591,28.64,22.35,15.49,12.20,16.25,0.00,94.95
592,28.69,22.43,15.74,12.20,16.02,0.00,95.07
593,28.52,22.49,15.74,12.20,15.82,0.00,94.77
594,28.64,22.39,15.85,12.10,15.79,0.00,94.78
595,28.77,22.25,15.97,12.00,15.59,0.00,94.58
596,28.69,22.33,15.58,12.00,15.73,0.00,94.33
597,28.85,22.34,15.86,12.00,15.28,0.00,94.34
598,28.81,22.24,16.40,12.00,15.22,0.00,94.67
599,28.94,22.09,16.43,12.00,15.03,0.00,94.49
600,28.64,22.28,15.92,12.00,14.94,0.00,93.78
601,28.77,22.35,16.04,12.00,14.99,0.00,94.15
602,28.64,22.22,16.31,12.00,15.32,0.00,94.50
603,28.90,21.86,16.44,12.00,15.53,0.00,94.72
604,29.02,22.08,16.60,12.00,15.88,0.00,95.58
605,28.98,21.92,16.78,12.00,16.06,0.00,95.74
606,29.15,21.87,17.06,12.00,15.87,0.00,95.94
607,29.15,21.77,16.98,12.00,15.64,0.00,95.54
608,29.23,21.56,16.65,12.00,15.44,0.00,94.89
609,29.19,21.57,16.94,12.00,15.05,0.00,94.76
610,29.32,21.46,16.89,12.00,14.98,0.00,94.65
611,29.65,21.66,17.16,12.00,15.20,0.00,95.66
612,29.74,21.59,17.19,12.00,15.33,0.00,95.85
613,29.82,21.66,17.22,12.00,15.12,0.00,95.82
614,29.86,21.53,16.76,11.90,14.98,0.00,95.03
615,30.11,21.75,17.10,11.90,15.01,0.00,95.87
616,29.86,21.75,17.08,11.90,14.74,0.00,95.34
617,29.95,21.82,17.22,12.00,14.62,0.00,95.60
618,29.86,21.82,17.28,12.00,14.65,0.00,95.62
619,29.90,21.91,16.93,12.00,14.13,0.00,94.87
620,29.86,22.09,17.33,12.00,13.92,0.00,95.20
621,29.82,22.02,17.03,12.00,13.99,0.00,94.86
622,30.03,22.10,16.61,12.00,13.92,0.00,94.66
623,29.99,22.17,16.60,12.00,13.83,0.00,94.60
